size,loading_sizes
1057988359.0,1728000000.0
38443205752.0,86998359000.0
1584800000.0,2563000000.0
1304172250.0,1920000000.0
44751702000.0,96462080000.0
1458240000.0,2236800000.0
2625000000.0,12831088200.0
13647000000.0,45080000000.0
64509000000.0,78948401152.0
13443615240.0,38836800000.0
10519882000.0,33195925728.0
31681358000.0,76571724600.0
39037509720.0,86998359000.0
17185944920.0,33195925728.0
58125600000.0,66833000000.0
68495985184.0,76351414272.0
18483770000.0,33195925728.0
64368000000.0,76351414272.0
63401088000.0,86998359000.0
1440875039.0,1728000000.0
67784154000.0,96462080000.0
7069903300.0,17313038400.0
38443205752.0,86998359000.0
88515000000.0,96462080000.0
1110910433.0,1728000000.0
48015000000.0,96462080000.0
2104016000.0,3029000000.0
297600000.0,1920000000.0
1608967000.0,2208000000.0
47498927000.0,96462080000.0
11040000000.0,66833000000.0
56955822000.0,66861000000.0
3000000000.0,33195925728.0
9000000000.0,67720138752.0
36504000000.0,67493744640.0
8558196000.0,17313038400.0
31284402450.0,96462080000.0
20241760000.0,67720138752.0
39270000000.0,66833000000.0
76968192000.0,86998359000.0
1464000000.0,1584000000.0
1108800000.0,2400000000.0
6804000000.0,12831088200.0
58760000000.0,81333875000.0
1440000000.0,1920000000.0
1379760000.0,1920000000.0
4538362500.0,37426915008.0
72626978264.0,96462080000.0
23750006000.0,33195925728.0
81600000000.0,96462080000.0
67976100000.0,76351414272.0
1532160000.0,3029000000.0
46080000000.0,86998359000.0
16336651740.0,86998359000.0
1688740000.0,2400000000.0
37156409704.0,96462080000.0
26160000000.0,86998359000.0
1536000000.0,1920000000.0
34087050000.0,96462080000.0
1564992000.0,1920000000.0
30026384820.0,59019000000.0
60727300000.0,76351414272.0
34496000000.0,51940000000.0
1107073010.0,1728000000.0
1458240000.0,2236800000.0
60249847660.0,86998359000.0
63780062680.0,86998359000.0
4651082125.0,12176972500.0
1784640000.0,2400000000.0
62895403000.0,86998359000.0
2516449000.0,3059290000.0
1395493803.0,1920000000.0
4834650000.0,33195925728.0
33295673640.0,89379200000.0
73823350000.0,96462080000.0
58800000000.0,86998359000.0
68400000000.0,78948401152.0
8760496000.0,81634000000.0
59520000000.0,86496000000.0
1110910433.0,1728000000.0
37156409704.0,96462080000.0
58720000000.0,86496000000.0
61819142680.0,76608000000.0
50696000000.0,86998359000.0
43308000000.0,67493744640.0
58806000000.0,76351414272.0
1379760000.0,1920000000.0
58791088340.0,76608000000.0
45565605540.0,59019000000.0
62751564500.0,96462080000.0
881880000.0,1920000000.0
1536377000.0,2400000000.0
45032154000.0,96462080000.0
213232800.0,2400000000.0
26784996000.0,86998359000.0
16335596000.0,36600000000.0
71682810000.0,86998359000.0
31199722600.0,76571724600.0
15445673640.0,89379200000.0
9823115000.0,86998359000.0
9786000000.0,12176972500.0
21912000000.0,86998359000.0
63788568380.0,76608000000.0
4651082125.0,12176972500.0
1249248000.0,1920000000.0
25344000000.0,86998359000.0
14001736000.0,96462080000.0
34496000000.0,51940000000.0
1110910433.0,1728000000.0
35795836320.0,48440044800.0
60517000000.0,76351414272.0
36960000000.0,86998359000.0
32673303480.0,86998359000.0
50688000000.0,86998359000.0
13012503240.0,86998359000.0
46080000000.0,96462080000.0
1532160000.0,3029000000.0
60517000000.0,76351414272.0
14610606000.0,76571724600.0
26575000000.0,81333875000.0
1778688000.0,2563000000.0
1379760000.0,1920000000.0
48664000000.0,86496000000.0
38045125000.0,89379200000.0
39984000000.0,66833000000.0
1108800000.0,1920000000.0
36504000000.0,67493744640.0
33711465200.0,96462080000.0
31284402450.0,96462080000.0
36783000000.0,81634000000.0
32425452960.0,52576000000.0
38143379000.0,86998359000.0
53864000000.0,86496000000.0
712320000.0,1920000000.0
11654400000.0,66833000000.0
1110910433.0,1728000000.0
1066000000.0,1584000000.0
48015000000.0,96462080000.0
7004092000.0,76571724600.0
1536377000.0,2404000000.0
38443205752.0,86998359000.0
850512000.0,1920000000.0
48363500000.0,96462080000.0
1440875039.0,1728000000.0
13012503240.0,38836800000.0
19733240000.0,67493744640.0
8760496000.0,86998359000.0
5865076000.0,16237080000.0
61193088000.0,86998359000.0
26025006480.0,86998359000.0
31681358000.0,76571724600.0
34461000000.0,96462080000.0
37135800000.0,66833000000.0
8788640000.0,17313038400.0
16743011640.0,38836800000.0
3714030125.0,12176972500.0
2550000000.0,12831088200.0
13647000000.0,45080000000.0
25296000000.0,39375000000.0
1185043105.0,1728000000.0
4901840000.0,89379200000.0
74080080000.0,86998359000.0
28751250000.0,33782400000.0
1395240000.0,2563000000.0
9336000000.0,76351414272.0
25920000000.0,48440044800.0
2464313000.0,3358928000.0
39081600000.0,96462080000.0
8987508000.0,17313038400.0
838252800.0,1920000000.0
13012503240.0,38836800000.0
18144340000.0,96462080000.0
8070000000.0,33195925728.0
24576000000.0,91199520000.0
52460000000.0,86496000000.0
1670709000.0,2563000000.0
4630874000.0,86998359000.0
14784000000.0,86998359000.0
723618000.0,1920000000.0
45400000000.0,67493744640.0
2053404000.0,2400000000.0
36783000000.0,81634000000.0
37937209704.0,96462080000.0
7745346000.0,33195925728.0
57528120000.0,67493744640.0
1648246000.0,14341200000.0
28563992682.0,89379200000.0
45032154000.0,96462080000.0
49822430000.0,67720138752.0
8867015000.0,33195925728.0
6043136000.0,12831088200.0
1481760000.0,1920000000.0
2017700250.0,17313038400.0
58806000000.0,76351414272.0
1289307000.0,1728000000.0
12308584150.0,86998359000.0
30467642000.0,78948401152.0
1536377000.0,2404000000.0
8887068000.0,96462080000.0
20702600000.0,46060000000.0
8640000000.0,86998359000.0
1124801725.0,1728000000.0
29497636880.0,86998359000.0
55800000000.0,86998359000.0
57973270000.0,76351414272.0
57024000000.0,86998359000.0
65792470000.0,96462080000.0
43265750000.0,86496000000.0
18705000000.0,96462080000.0
12243840000.0,67493744640.0
67290384700.0,86998359000.0
11196819000.0,54880000000.0
1050955899.0,1728000000.0
1323135000.0,1920000000.0
53256000000.0,86496000000.0
42828030000.0,86998359000.0
1584800000.0,2563000000.0
13731232000.0,33195925728.0
42030000000.0,86998359000.0
1107073010.0,1728000000.0
990000000.0,1920000000.0
1335600000.0,1920000000.0
8668271960.0,89379200000.0
14840100000.0,33195925728.0
6664000000.0,66833000000.0
55080000000.0,96462080000.0
1069272000.0,4752000000.0
62984592000.0,76351414272.0
32425452960.0,89379200000.0
